titre,entreprise,job_type,localisation,is_remote_job,country,description,lien,date_scraping,date_publication,source,Python,SQL,R,Java,Scala,C++,SAS,Matlab,VBA,Spark,Hadoop,Kafka,Hive,Airflow,dbt,Snowflake,Databricks,BigQuery,Redshift,Pandas,NumPy,Scikit-learn,TensorFlow,PyTorch,Keras,NLP,Computer Vision,Power BI,Tableau,Looker,Qlik,Streamlit,AWS,Azure,GCP,Docker,Kubernetes,Git,Linux,CI/CD,Anglais,Agile,Communication,Rigueur,Curiosité,Travail d'équipe,Gestion de projet,experience_estimee,niveau_etude_estime,job_category,date_poste,region,job_category_clean,duree_contrat,region_standardisee,salaire_estime
data scientist cdd 9 mois (f/h),Axa,CDD,Télétravail,1,France,,https://www.welcometothejungle.com/fr/companies/axa/jobs/data-scientist-cdd-9-mois-f-h_nanterre,2026-02-10,,WTTJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Non précisé,Non précisé,data scientist,2026-02-10,,Data Scientist,Non précisée,Télétravail,Non mentionné
data scientist f/h,iPepper,Non précisé,,0,France,"contexte .nous recherchons un data scientist confirme (h/f) pour accompagner nos clients grands comptes dans leurs projets data, ia et machine learning. .vous interviendrez au cur des equipes data, sur des missions a forte valeur ajoutee : modelisation, optimisation, predictio...",https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178077294W,2026-02-11,,APEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Confirmé,Non précisé,data scientist,2026-02-11,,Data Scientist,Non précisée,Non précisé,Non mentionné
data scientist f/h,UNION TECHNOLOGIES INFORMATIQUE,Non précisé,,0,France,"dans le cadre du renforcement du pole data science de notre client, acteur majeur dans le domaine bancaire, vous intervenez en tant que data scientist sur l'ensemble de la chaine de valeur data science et plus particulierement sur des problematiques de modelisation avancees. vos...",https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177991516W,2026-02-11,,APEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Non précisé,Non précisé,data scientist,2026-02-11,,Data Scientist,Non précisée,Non précisé,Non mentionné
data scientist f/h,INFORCA S.A.M,Alternance,,0,France,nous recherchons pour ce client monegasque un data scientist h/f afin danalyser et faciliter les decisions strategiques. le data scientist travaillera sur des analyses de donnees et participera au developpement de modeles predictifs et d'algorithmes d'apprentissage automatique. ...,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177993395W,2026-02-11,,APEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Non précisé,Non précisé,data scientist,2026-02-11,,Data Scientist,Non précisée,Non précisé,Non mentionné
data scientist f/h,D3S,Non précisé,,0,France,"data scientist, tu contribueras aux developpements d'algorithmes et modeles ia pour les leaders de l'industrie (airbus, renault, safran, cma, nexans, etc). nos technologies proprietaires sont le fruit d'une r&d interne active. l'ia appliquee aux plans de 3d (automobile et aerona...",https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177736742W,2026-02-11,,APEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior,Non précisé,data scientist,2026-02-11,,Data Scientist,Non précisée,Non précisé,Non mentionné
data scientist f/h,Consort Group,Non précisé,,0,France,"en tant qu ingenieure data & ia , vous etes responsable du developpement , de lindustrialisation et de lexploitation de solutions data & ia au sein de notre ecosysteme. : cote build : concevoir et developper des solutions ia basees sur des llm pour enrichir et structurer la...",https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177964629W,2026-02-11,,APEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Non précisé,Bac+5,data scientist,2026-02-11,,Data Scientist,Non précisée,Non précisé,Non mentionné
data scientist f/h,PMU,Non précisé,,0,France,"l'equipe data science & insights recherche un(e) data scientist qui sera amene(e) a realiser des analyses,?developper des modeles de data science et gerer leur cycle de vie (run, evolutions, maintenance..) pour repondre a des cas d'usage metier (ex : scores d'appetence ou de risq...",https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177936381W,2026-02-11,,APEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Non précisé,Non précisé,data scientist,2026-02-11,,Data Scientist,Non précisée,Non précisé,Non mentionné
data scientist f/h,KLANIK,Non précisé,,0,France,"contexte : rejoignez une equipe engagee dans l'amelioration continue des chaines communicantes et la valorisation des donnees pour optimiser leur exploitation. vous interviendrez sur des sujets a fort impact, melant performance, supervision et innovation. vos missions princip...",https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178095720W,2026-02-11,,APEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Non précisé,Non précisé,data scientist,2026-02-11,,Data Scientist,Non précisée,Non précisé,Non mentionné
data scientist f/h,MICHAEL PAGE INTERNATIONAL FRANCE,Non précisé,,0,France,"vos missions principales :* identifier et consolider les besoins en traitement automatique du langage avec les equipes de recherche et de pilotage. * developper, valider et maintenir des bibliotheques logicielles scientifiques en python. * concevoir et deployer des modeles de mac...",https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178024651W,2026-02-11,,APEC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Non précisé,Non précisé,data scientist,2026-02-11,,Data Scientist,Non précisée,Non précisé,Non mentionné
data scientist f/h,DEEPTECH SERVICES,Non précisé,,0,France,"a propos de wrenchmind wrenchmind est une plateforme genai pour lautomobile qui aide particuliers et professionnels a comprendre, diagnostiquer et decider grace a des assistants intelligents et des agents ia bases sur les donnees vehicules et reglementaires. mission concevoir...",https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178034596W,2026-02-11,,APEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Non précisé,Non précisé,data scientist,2026-02-11,,Data Scientist,Non précisée,Non précisé,Non mentionné
