titre,entreprise,job_category_clean,localisation,job_type,experience_estimee,Tech Skill,Presence Tech
data scientist cdd 9 mois (f/h),Axa,Data Scientist,Télétravail,CDD,Non précisé,Python,0
data scientist f/h,iPepper,Data Scientist,,Non précisé,Confirmé,Python,0
data scientist f/h,UNION TECHNOLOGIES INFORMATIQUE,Data Scientist,,Non précisé,Non précisé,Python,0
data scientist f/h,INFORCA S.A.M,Data Scientist,,Alternance,Non précisé,Python,0
data scientist f/h,D3S,Data Scientist,,Non précisé,Senior,Python,0
data scientist f/h,Consort Group,Data Scientist,,Non précisé,Non précisé,Python,0
data scientist f/h,PMU,Data Scientist,,Non précisé,Non précisé,Python,0
data scientist f/h,KLANIK,Data Scientist,,Non précisé,Non précisé,Python,0
data scientist f/h,MICHAEL PAGE INTERNATIONAL FRANCE,Data Scientist,,Non précisé,Non précisé,Python,1
data scientist f/h,DEEPTECH SERVICES,Data Scientist,,Non précisé,Non précisé,Python,0
data scientist/ data manager f/h,ALTEN,Data Scientist,,Non précisé,Non précisé,Python,0
lead data scientist f/h,Expectra,Data Scientist,,Non précisé,Senior,Python,0
data scientist (cfe) f/h,OXO-TEAM,Data Scientist,,Non précisé,Non précisé,Python,0
data scientist senior f/h,ACTIVUS GROUP,Data Scientist,,Non précisé,Non précisé,Python,0
data scientist f/h,MINISTERE DE L' INTERIEUR ET DES OUTRE-MER,Data Scientist,,Non précisé,Non précisé,Python,0
data scientist - f/h,Banque de France,Data Scientist,,Non précisé,Non précisé,Python,0
data scientist f/h,NEXTON,Data Scientist,Lille,Non précisé,Senior,Python,0
data scientist f/h,Siège de l'AP-HP,Data Scientist,,Non précisé,Non précisé,Python,0
data scientist - confirme f/h,Act Digital France,Data Scientist,,Non précisé,Senior,Python,0
data scientist f/h,Capgemini Engineering France,Data Scientist,,Non précisé,Non précisé,Python,0
data analyst/scientist f/h,LINEUP7,Data Analyst,,Non précisé,Non précisé,Python,1
data scientist experimente f/h,RANDSTAD DIGITAL FRANCE,Data Engineer,,Non précisé,Non précisé,Python,0
data scientist f/h,OLVEA,Data Scientist,,Non précisé,Non précisé,Python,0
data scientist f/h,Groupe ADP - Aéroport de Paris,Data Scientist,,Non précisé,Non précisé,Python,0
data scientist f/h,GROUPE ATLANTIC SYNERGY - Société en Nom Collectif,Data Scientist,,Non précisé,Senior,Python,1
data scientist-nha f/h,NEDSON,Data Scientist,France,Non précisé,Non précisé,Python,0
lead data scientist f/h,RESEAU DES RECRUTEURS,Data Scientist,,Non précisé,Senior,Python,0
consultant data scientist f/h,HEADMIND PARTNERS AI,Data Scientist,,Non précisé,Senior,Python,0
product manager data scientist f/h,Bluecoders,Data Scientist,,Non précisé,Non précisé,Python,0
ingenieur data scientist f/h,BLOCKSI SAS,Data Engineer,,Alternance,Non précisé,Python,0
lead data scientist f/h,RELX FRANCE,Data Scientist,,Non précisé,Non précisé,Python,0
senior data scientist f/h,Air Liquide,Data Scientist,,Non précisé,Non précisé,Python,0
data scientist / data analyst  comptabilite & finance f/h,MANAGEMENT INFORMATIQUE & NOUVELLES TECHNOLOGIES CONSEIL,Data Scientist,,Non précisé,Non précisé,Python,0
data scientist full dataiku f/h,DATAMED RESEARCH,Data Scientist,,Non précisé,Non précisé,Python,0
data scientist r&d f/h,ALESSIA RH,Data Scientist,,Non précisé,Non précisé,Python,0
data scientist mlops f/h,RANDSTAD DIGITAL FRANCE,Data Scientist,,Alternance,Non précisé,Python,0
data scientist - machine learning scientist f/h,Hellowork,Data Scientist,,Non précisé,Non précisé,Python,0
data scientist - f/h,cadremploi,Data Scientist,,Non précisé,Non précisé,Python,0
data scientist f/h,Hellowork,Data Scientist,,Non précisé,Non précisé,Python,0
data scientist & recherche operationnelle confirme f/h,MP DATA,Data Scientist,,Non précisé,Confirmé,Python,0
data scientist - madrid f/h,CARREVOLUTIS,Data Scientist,,Non précisé,Non précisé,Python,0
data scientist senior f/h,SCC France,Data Scientist,,Non précisé,Non précisé,Python,0
data scientist confirme f/h,CREDIT MUTUEL LEASING,Data Scientist,,Non précisé,Non précisé,Python,0
lead data scientist f/h,Hellowork,Data Scientist,France,Non précisé,Senior,Python,0
senior data scientist  retail ai f/h,VUSION,Data Scientist,,Non précisé,Non précisé,Python,0
data scientist  (h/f)-jla f/h,NEDSON,Data Scientist,,Non précisé,Non précisé,Python,0
data scientist  machine deep learning f/h,Davidson Consulting,Data Scientist,,Non précisé,Senior,Python,0
ingenieur retd data scientist experimente f/h,IRT JULES VERNE,Data Scientist,,Non précisé,Non précisé,Python,0
consultant data scientist  media f/h,Axys Consultants,Data Scientist,,Non précisé,Senior,Python,0
data scientist r&d f/h,Hellowork,Data Scientist,,Non précisé,Non précisé,Python,0
data scientist - analyse et modeles predictifs - amds024 f/h,Aymen KHELIFI,Data Scientist,,Non précisé,Non précisé,Python,0
senior data scientist f/h,Welcome to the Jungle,Data Scientist,,Non précisé,Senior,Python,0
data scientist senior  e-commerce operation f/h,SKIILS,Data Scientist,,Non précisé,Senior,Python,0
cp moa senior / data scientist f/h,VIBTIC,Data Scientist,,Non précisé,Non précisé,Python,0
data scientist ia gen f/h,Hellowork,Data Scientist,,Non précisé,Senior,Python,0
data scientist confirme  python / spark / scala / databricks f/h,INOVELYA,Data Scientist,,Non précisé,Confirmé,Python,0
data scientists ia f/h,LIPTON FIT,Data Scientist,,Non précisé,Non précisé,Python,0
data scientist ia / deep learning - python - confirme f/h,Kaizen Solutions,Data Scientist,,Non précisé,Senior,Python,0
senior data scientist - ia generative f/h,DEVOTEAM,Data Scientist,Lyon,Non précisé,Non précisé,Python,0
manager data scientist - macroeconomic modeling f/h,Welcome to the Jungle,Data Scientist,,Non précisé,Non précisé,Python,0
data scientist & recherche operationnelle confirme f/h,Welcome to the Jungle,Data Scientist,,Non précisé,Confirmé,Python,0
data scientist d'experience minimum f/h,Hellowork,Data Scientist,,Non précisé,Non précisé,Python,0
data scientist / machine learning engineer confirme f/h,ONEY BANK,ML Engineer,,Non précisé,Non précisé,Python,0
[som ligeron]data-scientist f/h,SOM Ligeron,Data Scientist,,Non précisé,Senior,Python,0
ingenieur r&d data scientist experimente f/h,Hellowork,Data Scientist,,Non précisé,Non précisé,Python,0
data scientist bureau d'etudes support et services f/h,Engagement Jeunes,Data Scientist,,Non précisé,Senior,Python,0
